minutes elapsed,shuttle_x,shuttle_y,shuttle_z,available antennas,best antenna,link budget
0.0,3689.773564,4222.72217,3028.891599,1.0,WPSA,10000
8.236480545,2319.817224,4865.712767,3698.167005,0.0,WPSA,0
9.236480545,1865.808701,4981.749611,3862.256016,1.0,DS54,10000
10.23648055,1402.384261,5072.667625,4006.812686,1.0,DS54,10000
11.23648055,932.0104707,5138.4804,4131.480818,1.0,DS54,10000
12.23648055,457.1066771,5179.368385,4236.050692,1.0,DS54,10000
13.23648055,-19.97676063,5195.6658,4320.451362,1.0,DS54,10000
14.23648055,-496.9769412,5187.846254,4384.741366,1.0,DS54,10000
15.23648055,-971.7335203,5156.50757,4429.098291,1.0,DS54,10000
16.23648055,-1442.200491,5102.356322,4453.807591,1.0,DS54,10000
17.23648055,-1906.454806,5026.192483,4459.251039,1.0,DS54,10000
18.23648055,-2362.702095,4928.894567,4445.895151,1.0,DS54,10000
19.23648055,-2809.27978,4811.405518,4414.27986,1.0,DS54,10000
20.23648055,-3244.657942,4674.719569,4365.00765,1.0,DS54,10000
21.23648055,-3667.438274,4519.870184,4298.733329,1.0,DS54,10000
22.23648055,-4076.35148,4347.919174,4216.154538,0.0,WPSA,0
23.23648055,-4470.253434,4159.946995,4118.003068,0.0,WPSA,0
24.23648055,-4848.120379,3957.044221,4005.037018,0.0,WPSA,0
25.23648055,-5209.043443,3740.304141,3878.033793,0.0,WPSA,0
26.23648055,-5552.222675,3510.816431,3737.783925,0.0,WPSA,0
27.23648055,-5876.960802,3269.661807,3585.085678,0.0,WPSA,0
28.23648055,-6182.656865,3017.907591,3420.740395,0.0,WPSA,0
29.23648055,-6468.799851,2756.604091,3245.548528,0.0,WPSA,0
30.23648055,-6734.962443,2486.781712,3060.3063,0.0,WPSA,0
31.23648055,-6980.794954,2209.448722,2865.802933,0.0,WPSA,0
32.23648055,-7206.019509,1925.589567,2662.818384,0.0,WPSA,0
33.23648055,-7410.424523,1636.163691,2452.121533,0.0,WPSA,0
34.23648055,-7593.859503,1342.104762,2234.468776,0.0,WPSA,0
35.23648055,-7756.230186,1044.320257,2010.602951,0.0,WPSA,0
36.23648055,-7897.494034,743.6913444,1781.25258,0.0,WPSA,0
37.23648055,-8017.65607,441.0730108,1547.131351,0.0,WPSA,0
38.23648055,-8116.765072,137.2943871,1308.937834,0.0,WPSA,0
39.23648055,-8194.910096,-166.8407631,1067.355371,0.0,WPSA,0
40.23648055,-8252.217328,-470.5534292,823.0521261,0.0,WPSA,0
41.23648055,-8288.847247,-773.088643,576.6812584,0.0,WPSA,0
42.23648055,-8304.992087,-1073.714697,328.8811994,0.0,WPSA,0
43.23648055,-8300.87358,-1371.722312,80.27601373,0.0,WPSA,0
44.23648055,-8276.740968,-1666.42378,-168.5241763,0.0,WPSA,0
45.23648055,-8232.869254,-1957.152085,-416.9227173,0.0,WPSA,0
46.23648055,-8169.557709,-2243.260027,-664.3359157,0.0,WPSA,0
47.23648055,-8087.128576,-2524.119362,-910.1925063,0.0,WPSA,0
48.63913203,-7939.798306,-2908.441304,-1251.694232,0.0,WPSA,0
49.63913203,-7812.08519,-3176.120857,-1493.237622,0.0,WPSA,0
50.63913203,-7666.514452,-3436.54064,-1731.362087,0.0,WPSA,0
51.63913203,-7503.504192,-3689.143523,-1965.541578,0.0,WPSA,0
52.63913203,-7323.493029,-3933.388136,-2195.260178,0.0,WPSA,0
53.63913203,-7126.939801,-4168.748373,-2420.011724,0.0,WPSA,0
54.63913203,-6914.323412,-4394.712944,-2639.299462,0.0,WPSA,0
55.63913203,-6686.142798,-4610.784984,-2852.635728,0.0,WPSA,0
56.63913203,-6442.917013,-4816.481736,-3059.541662,0.0,WPSA,0
57.63913203,-6185.185435,-5011.334287,-3259.546969,0.0,WPSA,0
58.63913203,-5913.508075,-5194.887393,-3452.189722,0.0,WPSA,0
59.63913203,-5628.465986,-5366.699371,-3637.016213,0.0,WPSA,0
60.63913203,-5330.661775,-5526.34209,-3813.580871,0.0,WPSA,0
61.63913203,-5020.720203,-5673.401036,-3981.446231,0.0,WPSA,0
62.63913203,-4699.288868,-5807.475493,-4140.182983,0.0,WPSA,0
63.63913203,-4367.038972,-5928.178812,-4289.370084,1.0,DS34,10000
64.63913203,-4024.666155,-6035.138804,-4428.594965,1.0,DS34,10000
65.63913203,-3672.891406,-6127.998246,-4557.453823,1.0,DS34,10000
66.63913203,-3312.462019,-6206.415516,-4675.552006,1.0,DS34,10000
67.63913203,-2944.152611,-6270.065373,-4782.504519,1.0,DS34,10000
68.63913203,-2568.766175,-6318.639872,-4877.936632,1.0,DS34,10000
69.63913203,-2187.135157,-6351.849445,-4961.484629,1.0,DS34,10000
70.63913203,-1800.122557,-6369.424154,-5032.796685,1.0,DS34,10000
71.63913203,-1408.623024,-6371.115113,-5091.533901,1.0,DS34,10000
72.63913203,-1013.563928,-6356.696112,-5137.371501,1.0,DS34,10000
73.63913203,-615.9063979,-6325.96544,-5170.000201,1.0,DS34,10000
74.63913203,-216.6462854,-6278.747928,-5189.127775,1.0,DS34,10000
75.63913203,183.1849617,-6214.897211,-5194.480816,1.0,DS34,10000
76.63913203,582.5195612,-6134.298238,-5185.806727,1.0,DS34,10000
77.63913203,980.2528268,-6036.87002,-5162.875933,1.0,DS34,10000
78.63913203,1375.242814,-5922.568637,-5125.484337,1.0,DS34,10000
79.63913203,1766.310234,-5791.390497,-5073.456042,1.0,DS34,10000
80.63913203,2152.23869,-5643.375866,-5006.646323,1.0,DS34,10000
81.63913203,2531.775311,-5478.612637,-4924.944882,1.0,DS34,10000
82.63913203,2903.631839,-5297.240354,-4828.279368,0.0,WPSA,0
83.63913203,3266.486266,-5099.454462,-4716.619167,0.0,WPSA,0
84.63913203,3618.985099,-4885.510752,-4589.97946,0.0,WPSA,0
85.63913203,3959.746345,-4655.729972,-4448.425512,0.0,WPSA,0
86.63913203,4287.363317,-4410.502549,-4292.077183,0.0,WPSA,0
87.63913203,4600.40936,-4150.293355,-4121.113606,0.0,WPSA,0
88.63913203,4897.443603,-3875.646439,-3935.77799,0.0,WPSA,0
89.63913203,5177.017819,-3587.189611,-3736.382462,0.0,WPSA,0
90.63913203,5437.684504,-3285.638774,-3523.31287,0.0,WPSA,0
91.63913203,5678.006233,-2971.801836,-3297.033429,0.0,WPSA,0
92.63913203,5896.566344,-2646.582059,-3058.09108,0.0,WPSA,0
93.63913203,6091.980981,-2310.980638,-2807.119416,0.0,WPSA,0
94.63913203,6262.912469,-1966.09832,-2544.841983,0.0,WPSA,0
95.63913203,6408.083954,-1613.135849,-2272.074799,0.0,WPSA,0
96.63913203,6526.295185,-1253.39301,-1989.727857,0.0,WPSA,0
97.63913203,6616.43925,-888.2660616,-1698.805436,0.0,WPSA,0
98.63913203,6677.520019,-519.2433684,-1400.40499,0.0,WPSA,0
99.63913203,6708.669958,-147.8990401,-1095.714446,0.0,WPSA,0
100.1082326,6712.758423,26.63310567,-950.9746977,0.0,WPSA,0
101.1082326,6696.992724,400.4799717,-637.3789476,0.0,WPSA,0
102.1082326,6646.420776,776.745842,-316.7141186,0.0,WPSA,0
103.1082326,6560.698231,1153.744249,9.661088304,0.0,WPSA,0
104.1082326,6439.688501,1529.736707,340.314087,1.0,DS24,10000
105.1082326,6283.499912,1902.952138,673.7492394,1.0,DS24,10000
106.1082326,6092.522517,2271.614615,1008.425723,1.0,DS24,10000
107.1082326,5867.46144,2633.979879,1342.783248,1.0,DS24,10000
108.1082326,5609.362934,2988.380152,1675.275794,2.0,DS24,10000
109.1082326,5319.629075,3333.275631,2004.412591,2.0,DS24,10000
110.1082326,5000.017252,3667.309729,2328.804432,2.0,DS24,10000
